,Close,Oil Close,Gold Close,daily_increase
2010-07-17,0.05,,,
2010-07-18,0.0858,,,26108.33333333349
2010-07-19,0.0808,76.53,,26108.33333333349
2010-07-20,0.0747,77.32,$1366.80,26108.33333333349
2010-07-21,0.0792,76.27,$1366.90,26077.08333333349
2010-07-22,0.0505,79.01,$1370.70,26077.08333333349
2010-07-23,0.0626,78.68,$1362.90,26077.08333333349
2010-07-24,0.0545,78.68,$1362.90,26320.833333333023
2010-07-25,0.0505,78.68,$1362.90,26320.833333333023
2010-07-26,0.056,78.93,$1358.20,26002.08333333349
2010-07-27,0.06,77.46,$1333.10,26002.08333333349
2010-07-28,0.0589,77.06,$1335.50,26002.08333333349
2010-07-29,0.0699,78.3,$1343.50,26500.0
2010-07-30,0.0627,78.85,$1356.80,26500.0
2010-07-31,0.0679,78.85,$1356.80,26500.0
2010-08-01,0.0611,78.85,$1356.80,25700.0
2010-08-02,0.06,81.25,$1358.50,25700.0
2010-08-03,0.06,82.52,$1360.60,25750.0
2010-08-04,0.057,82.49,$1369.00,25750.0
2010-08-05,0.061,82.0,$1372.40,25900.0
2010-08-06,0.0623,80.67,$1378.40,25900.0
2010-08-07,0.059,80.67,$1378.40,25900.0
2010-08-08,0.0609,80.67,$1378.40,25550.0
2010-08-09,0.071,81.46,$1375.70,25550.0
2010-08-10,0.07,80.24,$1371.10,25550.0
2010-08-11,0.067,78.09,$1372.30,26150.0
2010-08-12,0.07,75.68,$1389.80,26150.0
2010-08-13,0.0645,75.39,$1389.70,25600.0
2010-08-14,0.067,75.39,$1389.70,25600.0
2010-08-15,0.0653,75.39,$1389.70,25670.83333333349
2010-08-16,0.0655,75.17,$1399.30,25670.83333333349
2010-08-17,0.07,75.76,$1401.40,25670.83333333349
2010-08-18,0.068,75.39,$1404.50,25670.83333333349
2010-08-19,0.0667,74.45,$1408.50,25679.16666666651
2010-08-20,0.0655,73.45,$1401.90,25679.16666666651
2010-08-21,0.0664,73.45,$1401.90,25679.16666666651
2010-08-22,0.066,73.45,$1401.90,25550.0
2010-08-23,0.0649,72.71,$1401.60,25550.0
2010-08-24,0.065,71.24,$1406.50,25600.0
2010-08-25,0.0648,72.07,$1414.40,25600.0
2010-08-26,0.064,73.36,$1410.80,25600.0
2010-08-27,0.065,75.17,$1411.00,26150.0
2010-08-28,0.0641,75.17,$1411.00,26150.0
2010-08-29,0.064,75.17,$1411.00,26150.0
2010-08-30,0.065,74.69,$1412.30,25600.0
2010-08-31,0.06,71.93,$1423.40,25600.0
2010-09-01,0.0629,73.97,$1421.20,25600.0
2010-09-02,0.0634,74.99,$1426.50,25700.0
2010-09-03,0.0609,74.52,$1424.20,25700.0
2010-09-04,0.0624,74.52,$1424.20,25700.0
2010-09-05,0.0616,74.52,$1424.20,25700.0
2010-09-06,0.0616,74.52,$1424.20,25700.0
2010-09-07,0.061,73.98,$1432.40,25700.0
2010-09-08,0.062,74.65,$1430.60,25895.83333333349
2010-09-09,0.0611,74.25,$1424.00,25895.83333333349
2010-09-10,0.0618,76.4,$1419.60,25895.83333333349
2010-09-11,0.0637,76.4,$1419.60,25804.16666666651
2010-09-12,0.0615,76.4,$1419.60,25804.16666666651
2010-09-13,0.0622,77.17,$1420.20,25804.16666666651
2010-09-14,0.062,76.78,$1444.80,25550.0
2010-09-15,0.0604,75.92,$1441.80,25550.0
2010-09-16,0.0619,74.58,$1446.90,25550.0
2010-09-17,0.059,73.63,$1450.60,25700.0
2010-09-18,0.061,73.63,$1450.60,25700.0
2010-09-19,0.0627,73.63,$1450.60,25700.0
2010-09-20,0.0621,74.81,$1453.90,25700.0
2010-09-21,0.0627,72.96,$1447.40,25700.0
2010-09-22,0.0622,72.98,$1465.20,25650.0
2010-09-23,0.0623,73.4,$1469.40,25650.0
2010-09-24,0.0622,74.63,$1471.20,25600.0
2010-09-25,0.062,74.63,$1471.20,25600.0
2010-09-26,0.062,74.63,$1471.20,25600.0
2010-09-27,0.0622,76.51,$1471.70,25550.0
2010-09-28,0.0619,76.15,$1481.40,25550.0
2010-09-29,0.0619,77.85,$1483.40,26050.0
2010-09-30,0.0619,79.95,$1482.70,26050.0
2010-10-01,0.062,81.57,$1490.90,26050.0
2010-10-02,0.0614,81.57,$1490.90,26050.0
2010-10-03,0.0611,81.57,$1490.90,25600.0
2010-10-04,0.0613,81.43,$1489.90,25600.0
2010-10-05,0.0614,82.83,$1513.40,25600.0
2010-10-06,0.0628,83.21,$1520.80,25600.0
2010-10-07,0.067,81.34,$1508.10,25700.0
2010-10-08,0.0869,82.66,$1518.40,25700.0
2010-10-09,0.0938,82.66,$1518.40,25700.0
2010-10-10,0.0965,82.66,$1518.40,25650.0
2010-10-11,0.095,82.18,$1527.50,25650.0
2010-10-12,0.0949,81.67,$1519.80,25650.0
2010-10-13,0.105,83.03,$1543.60,25800.0
2010-10-14,0.102,82.71,$1550.70,25800.0
2010-10-15,0.105,81.23,$1545.10,25800.0
2010-10-16,0.101,81.23,$1545.10,25700.0
2010-10-17,0.102,81.23,$1545.10,25700.0
2010-10-18,0.1024,83.06,$1545.20,25850.0
2010-10-19,0.097,79.57,$1509.10,25850.0
2010-10-20,0.099,81.93,$1517.30,25900.0
2010-10-21,0.107,80.03,$1498.70,25900.0
2010-10-22,0.1025,81.15,$1498.20,26000.0
2010-10-23,0.1055,81.15,$1498.20,26000.0
2010-10-24,0.115,81.15,$1498.20,26000.0
2010-10-25,0.132,82.0,$1512.00,26150.0
2010-10-26,0.1503,82.6,$1511.70,26150.0
2010-10-27,0.1877,81.9,$1495.70,25793.75
2010-10-28,0.1731,82.2,$1515.60,25793.75
2010-10-29,0.19,81.45,$1530.70,25793.75
2010-10-30,0.1989,81.45,$1530.70,25806.25
2010-10-31,0.1925,81.45,$1530.70,25806.25
2010-11-01,0.1955,82.94,$1523.70,25900.0
2010-11-02,0.1938,83.91,$1530.00,25900.0
2010-11-03,0.1931,84.45,$1510.70,25900.0
2010-11-04,0.23,86.49,$1556.20,25750.0
2010-11-05,0.26,86.85,$1570.80,25750.0
2010-11-06,0.39,86.85,$1570.80,25750.0
2010-11-07,0.34,86.85,$1570.80,25750.0
2010-11-08,0.243,87.07,$1576.30,25800.0
2010-11-09,0.21,87.04,$1583.20,25800.0
2010-11-10,0.24,87.77,$1572.40,25800.0
2010-11-11,0.2231,87.77,$1576.40,25600.0
2010-11-12,0.2682,84.89,$1538.60,25600.0
2010-11-13,0.276,84.89,$1538.60,25850.0
2010-11-14,0.279,84.89,$1538.60,25850.0
2010-11-15,0.2682,84.88,$1541.60,25850.0
2010-11-16,0.223,82.33,$1511.50,26150.0
2010-11-17,0.2299,80.43,$1510.00,26150.0
2010-11-18,0.2678,81.88,$1526.10,26125.0
2010-11-19,0.28,81.65,$1525.40,26125.0
2010-11-20,0.283,81.65,$1525.40,26125.0
2010-11-21,0.2768,81.65,$1525.40,25825.0
2010-11-22,0.2879,81.24,$1530.90,25825.0
2010-11-23,0.283,80.79,$1550.70,25825.0
2010-11-24,0.283,83.21,$1546.10,25825.0
2010-11-25,0.28,83.21,$1546.10,25900.0
2010-11-26,0.2844,83.87,$1535.50,25900.0
2010-11-27,0.283,83.87,$1535.50,25850.0
2010-11-28,0.27,83.87,$1535.50,25850.0
2010-11-29,0.2299,85.73,$1539.10,25850.0
2010-11-30,0.2082,84.12,$1558.10,25945.833333333023
2010-12-01,0.2275,86.75,$1560.40,25945.833333333023
2010-12-02,0.255,87.98,$1561.60,25945.833333333023
2010-12-03,0.2511,89.18,$1578.50,25804.166666666977
2010-12-04,0.205,89.18,$1578.50,25804.166666666977
2010-12-05,0.19,89.18,$1578.50,26006.25
2010-12-06,0.204,89.33,$1588.40,26006.25
2010-12-07,0.233,88.69,$1581.30,26050.0
2010-12-08,0.2388,88.3,$1555.50,26050.0
2010-12-09,0.2,88.35,$1565.10,26050.0
2010-12-10,0.204,87.81,$1557.20,25743.75
2010-12-11,0.228,87.81,$1557.20,25743.75
2010-12-12,0.22,87.81,$1557.20,25743.75
2010-12-13,0.2299,88.62,$1570.30,25900.0
2010-12-14,0.2467,88.33,$1576.60,25900.0
2010-12-15,0.238,88.66,$1558.50,25900.0
2010-12-16,0.25,87.71,$1543.30,26500.0
2010-12-17,0.24,88.02,$1551.50,26500.0
2010-12-18,0.241,88.02,$1551.50,26500.0
2010-12-19,0.2401,88.02,$1551.50,25900.0
2010-12-20,0.267,88.68,$1558.40,25900.0
2010-12-21,0.24,89.3,$1561.10,25900.0
2010-12-22,0.25,89.83,$1559.70,26150.0
2010-12-23,0.25,90.84,$1552.80,26150.0
2010-12-24,0.248,90.84,$1552.80,26150.0
2010-12-25,0.2499,90.84,$1552.80,25700.0
2010-12-26,0.265,90.84,$1552.80,25700.0
2010-12-27,0.265,90.99,$1555.20,25700.0
2010-12-28,0.281,91.48,$1577.90,25793.75
2010-12-29,0.3,91.13,$1585.80,25793.75
2010-12-30,0.3,89.85,$1578.20,25793.75
2010-12-31,0.3,91.38,$1593.70,25793.75
2011-01-01,0.3,91.38,$1593.70,25856.25
2011-01-02,0.3,91.38,$1593.70,25856.25
2011-01-03,0.295,91.59,$1595.20,25856.25
2011-01-04,0.299,89.39,$1551.10,25800.0
2011-01-05,0.299,90.3,$1546.00,25800.0
2011-01-06,0.298,88.37,$1544.00,25800.0
2011-01-07,0.32,88.07,$1541.20,25668.75
2011-01-08,0.3229,88.07,$1541.20,25668.75
2011-01-09,0.323,88.07,$1541.20,25668.75
2011-01-10,0.3266,89.24,$1546.40,25681.25
2011-01-11,0.3266,91.11,$1556.60,25681.25
2011-01-12,0.3188,91.85,$1558.10,25681.25
2011-01-13,0.3176,91.39,$1559.30,26000.0
2011-01-14,0.4,91.53,$1532.80,26000.0
2011-01-15,0.386,91.53,$1532.80,26000.0
2011-01-16,0.3868,91.53,$1532.80,25700.0
2011-01-17,0.3495,91.53,$1532.80,25700.0
2011-01-18,0.313,91.38,$1540.50,25700.0
2011-01-19,0.313,90.85,$1542.50,25852.083333333023
2011-01-20,0.39,88.56,$1518.80,25852.083333333023
2011-01-21,0.4199,88.22,$1513.30,25852.083333333023
2011-01-22,0.4443,88.22,$1513.30,25997.916666666977
2011-01-23,0.4424,88.22,$1513.30,25997.916666666977
2011-01-24,0.4199,86.74,$1516.80,25997.916666666977
2011-01-25,0.41,85.08,$1504.60,25600.0
2011-01-26,0.417,86.15,$1505.30,25600.0
2011-01-27,0.4212,84.45,$1490.70,25600.0
2011-01-28,0.446,88.15,$1513.00,25750.0
2011-01-29,0.439,88.15,$1513.00,25750.0
2011-01-30,0.4799,88.15,$1513.00,25750.0
2011-01-31,0.52,90.99,$1506.10,25650.0
2011-02-01,0.7,89.54,$1511.90,25650.0
2011-02-02,0.716,89.78,$1503.80,25650.0
2011-02-03,0.69,89.42,$1524.70,25650.0
2011-02-04,0.811,87.87,$1520.70,25922.916666666977
2011-02-05,0.92,87.87,$1520.70,25922.916666666977
2011-02-06,0.8997,87.87,$1520.70,25577.083333333023
2011-02-07,0.89,86.3,$1519.90,25577.083333333023
2011-02-08,0.918,85.85,$1535.80,25577.083333333023
2011-02-09,1.09,85.59,$1537.20,25750.0
2011-02-10,0.9803,85.44,$1534.20,25750.0
2011-02-11,1.07,84.39,$1532.10,25750.0
2011-02-12,1.0799,84.39,$1532.10,25600.0
2011-02-13,1.05,84.39,$1532.10,25600.0
2011-02-14,1.07,83.66,$1536.80,25600.0
2011-02-15,1.05,83.13,$1545.80,25600.0
2011-02-16,1.045,83.8,$1546.80,25600.0
2011-02-17,1.04,85.05,$1556.80,25743.75
2011-02-18,0.8989,85.03,$1560.30,25743.75
2011-02-19,0.949,85.03,$1560.30,25706.25
2011-02-20,0.85,85.03,$1560.30,25706.25
2011-02-21,0.8345,85.03,$1560.30,25706.25
2011-02-22,0.8702,92.65,$1572.80,25702.083333333023
2011-02-23,0.9,96.04,$1585.70,25702.083333333023
2011-02-24,0.9974,95.83,$1587.50,25797.916666666977
2011-02-25,0.9111,96.52,$1581.00,25797.916666666977
2011-02-26,0.958,96.52,$1581.00,25500.0
2011-02-27,0.89,96.52,$1581.00,25500.0
2011-02-28,0.86,97.1,$1581.60,25500.0
